fips,province,lat,long,combined_key
60,American Samoa,-14.271,-170.132,"American Samoa, US"
66,Guam,13.4443,144.7937,"Guam, US"
69,Northern Mariana Islands,15.0979,145.6739,"Northern Mariana Islands, US"
78,Virgin Islands,18.3358,-64.8963,"Virgin Islands, US"
72,Puerto Rico,18.2208,-66.5901,"Puerto Rico, US"
88888,Diamond Princess,,,"Diamond Princess, US"
99999,Grand Princess,,,"Grand Princess, US"
1,Alabama,32.3182,-86.9023,"Alabama, US"
2,Alaska,61.3707,-152.4044,"Alaska, US"
4,Arizona,33.7298,-111.4312,"Arizona, US"
5,Arkansas,34.9697,-92.3731,"Arkansas, US"
6,California,36.1162,-119.6816,"California, US"
8,Colorado,39.0598,-105.3111,"Colorado, US"
9,Connecticut,41.5978,-72.7554,"Connecticut, US"
10,Delaware,39.3185,-75.5071,"Delaware, US"
11,District of Columbia,38.8974,-77.0268,"District of Columbia, US"
12,Florida,27.7663,-81.6868,"Florida, US"
13,Georgia,33.0406,-83.6431,"Georgia, US"
15,Hawaii,21.0943,-157.4983,"Hawaii, US"
16,Idaho,44.2405,-114.4788,"Idaho, US"
17,Illinois,40.3495,-88.9861,"Illinois, US"
18,Indiana,39.8494,-86.2583,"Indiana, US"
19,Iowa,42.0115,-93.2105,"Iowa, US"
20,Kansas,38.5266,-96.7265,"Kansas, US"
21,Kentucky,37.6681,-84.6701,"Kentucky, US"
22,Louisiana,31.1695,-91.8678,"Louisiana, US"
23,Maine,44.6939,-69.3819,"Maine, US"
24,Maryland,39.0639,-76.8021,"Maryland, US"
25,Massachusetts,42.2302,-71.5301,"Massachusetts, US"
26,Michigan,43.3266,-84.5361,"Michigan, US"
27,Minnesota,45.6945,-93.9002,"Minnesota, US"
28,Mississippi,32.7416,-89.6787,"Mississippi, US"
29,Missouri,38.4561,-92.2884,"Missouri, US"
30,Montana,46.9219,-110.4544,"Montana, US"
31,Nebraska,41.1254,-98.2681,"Nebraska, US"
32,Nevada,38.3135,-117.0554,"Nevada, US"
33,New Hampshire,43.4525,-71.5639,"New Hampshire, US"
34,New Jersey,40.2989,-74.521,"New Jersey, US"
35,New Mexico,34.8405,-106.2485,"New Mexico, US"
